Filename,Participant,Label,Audio,delighted,dysregulated,frustrated,request,selftalk,social
200126_2142_00-13-04.06--00-13-04.324.wav,P01,dysregulated,"[-0.14604187 -0.15263367 -0.15974426 ...  0.0070343   0.00646973
  0.00601196]",False,True,False,False,False,False
200126_2142_00-06-41.54--00-06-42.47.wav,P01,dysregulated,"[ 0.08834839  0.09138489  0.09321594 ... -0.12440491 -0.12738037
 -0.12950134]",False,True,False,False,False,False
200126_2142_00-11-35.94--00-11-37.08.wav,P01,dysregulated,[0.0358429  0.02403259 0.01158142 ... 0.24516296 0.23019409 0.21105957],False,True,False,False,False,False
200126_2142_00-12-11.66--00-12-15.31.wav,P01,dysregulated,"[ 0.00675964 -0.00045776 -0.01092529 ...  0.09069824  0.07669067
  0.05534363]",False,True,False,False,False,False
200126_2142_00-00-24.55--00-00-24.95.wav,P01,dysregulated,"[ 0.02839661  0.02764893  0.0249939  ... -0.29325867 -0.3046112
 -0.3195343 ]",False,True,False,False,False,False
200126_2142_00-15-39.87--00-15-41.15.wav,P01,dysregulated,"[-0.31503296 -0.30366516 -0.29177856 ...  0.05169678  0.0509491
  0.0501709 ]",False,True,False,False,False,False
200126_2142_00-10-30.85--00-10-31.32.wav,P01,dysregulated,"[-0.30822754 -0.20606995 -0.10592651 ...  0.12495422  0.10810852
  0.09405518]",False,True,False,False,False,False
200126_2142_00-21-53.48--00-21-54.45.wav,P01,dysregulated,"[-0.01679993 -0.01272583 -0.00502014 ...  0.11579895  0.12362671
  0.1337738 ]",False,True,False,False,False,False
200126_2142_00-15-34.15--00-15-34.63.wav,P01,dysregulated,"[ 0.01325989  0.01197815  0.00778198 ... -0.072052   -0.07676697
 -0.08154297]",False,True,False,False,False,False
200126_2142_00-12-59.47--00-13-01.629.wav,P01,dysregulated,"[ 0.04608154  0.03497314  0.02398682 ... -0.08866882 -0.09518433
 -0.10505676]",False,True,False,False,False,False
200126_2142_00-01-20.27--00-01-21.83.wav,P01,dysregulated,"[-0.0353241  -0.03945923 -0.0447998  ...  0.02001953  0.03207397
  0.04219055]",False,True,False,False,False,False
200126_2142_00-06-44.1--00-06-45.66.wav,P01,dysregulated,"[-0.07795715 -0.07302856 -0.06840515 ...  0.12016296  0.12214661
  0.1149292 ]",False,True,False,False,False,False
200126_2142_00-17-59.49--00-18-00.152.wav,P01,dysregulated,"[-0.09111023 -0.08171082 -0.05561829 ...  0.00360107 -0.00396729
 -0.01153564]",False,True,False,False,False,False
200126_2142_00-21-49.18--00-21-50.19.wav,P01,dysregulated,"[-0.00296021 -0.00292969 -0.00299072 ... -0.22955322 -0.22381592
 -0.21632385]",False,True,False,False,False,False
200126_2142_00-12-02.785--00-12-03.469.wav,P01,dysregulated,"[ 0.10502625  0.12017822  0.13529968 ... -0.0737915  -0.06614685
 -0.05697632]",False,True,False,False,False,False
200126_2142_00-17-54.82--00-17-56.33.wav,P01,dysregulated,"[-0.17944336 -0.18426514 -0.17024231 ... -0.00216675  0.00100708
  0.00263977]",False,True,False,False,False,False
200126_2142_00-12-50.42--00-12-52.18.wav,P01,dysregulated,"[ 0.07032776  0.05491638  0.03872681 ...  0.05651855  0.02679443
 -0.00233459]",False,True,False,False,False,False
200126_2142_00-02-11.01--00-02-15.74.wav,P01,dysregulated,"[-0.08306885 -0.07522583 -0.0597229  ...  0.05218506  0.06016541
  0.0660553 ]",False,True,False,False,False,False
200126_2142_00-04-51.61--00-04-52.89.wav,P01,dysregulated,"[-0.00297546 -0.00830078 -0.0116272  ...  0.00575256  0.021698
  0.03762817]",False,True,False,False,False,False
200126_2142_00-04-16.05--00-04-18.31.wav,P01,dysregulated,"[ 0.03265381  0.0269928   0.01123047 ... -0.04481506 -0.04249573
 -0.03833008]",False,True,False,False,False,False
200126_2142_00-08-44.05--00-08-44.6.wav,P01,dysregulated,"[-0.04248047 -0.05856323 -0.07189941 ... -0.07455444 -0.02444458
  0.03297424]",False,True,False,False,False,False
200126_2142_00-10-02.358--00-10-02.678.wav,P01,dysregulated,"[ 0.05189514  0.05622864  0.05274963 ... -0.06916809 -0.10179138
 -0.13204956]",False,True,False,False,False,False
200126_2142_00-12-53.68--00-12-55.63.wav,P01,dysregulated,"[-0.00177002 -0.0017395  -0.00169373 ...  0.00268555  0.02159119
  0.04399109]",False,True,False,False,False,False
200126_2142_00-06-27.24--00-06-28.42.wav,P01,dysregulated,"[-0.17106628 -0.18334961 -0.17518616 ...  0.1816864   0.18209839
  0.1786499 ]",False,True,False,False,False,False
200126_2142_00-04-23.23--00-04-24.56.wav,P01,dysregulated,"[-0.00073242  0.0017395   0.00497437 ...  0.01600647  0.01876831
  0.01860046]",False,True,False,False,False,False
200126_2142_00-15-53.56--00-15-54.85.wav,P01,dysregulated,"[ 0.00256348  0.00239563  0.00219727 ... -0.1483612  -0.14297485
 -0.13746643]",False,True,False,False,False,False
200126_2142_00-02-34.93--00-02-35.47.wav,P01,dysregulated,[0.23703003 0.21228027 0.1902008  ... 0.00283813 0.00320435 0.00230408],False,True,False,False,False,False
200126_2142_00-13-29.96--00-13-31.44.wav,P01,dysregulated,"[-0.07502747 -0.06620789 -0.05639648 ...  0.1789856   0.17764282
  0.17718506]",False,True,False,False,False,False
200126_2142_00-06-32.15--00-06-33.16.wav,P01,dysregulated,"[-0.01570129 -0.02124023 -0.02590942 ... -0.3935852  -0.39552307
 -0.39666748]",False,True,False,False,False,False
200126_2142_00-01-25.94--00-01-26.48.wav,P01,dysregulated,"[-0.00209045  0.01127625  0.02479553 ... -0.09971619 -0.09487915
 -0.0887146 ]",False,True,False,False,False,False
200126_2142_00-05-04.75--00-05-05.032.wav,P01,dysregulated,"[ 0.0244751   0.03031921  0.03562927 ... -0.17584229 -0.18595886
 -0.19744873]",False,True,False,False,False,False
200126_2142_00-04-55.97--00-04-57.81.wav,P01,dysregulated,"[ 0.01353455  0.00798035  0.00146484 ... -0.02087402 -0.0302124
 -0.04101562]",False,True,False,False,False,False
200126_2142_00-19-41.47--00-19-44.91.wav,P01,dysregulated,"[-0.6363373  -0.6367645  -0.6348877  ...  0.02790833  0.02580261
  0.02452087]",False,True,False,False,False,False
200126_2142_00-19-47.69--00-19-48.79.wav,P01,dysregulated,"[ 0.003479    0.00421143  0.00482178 ... -0.00959778 -0.01324463
 -0.01559448]",False,True,False,False,False,False
200126_2142_00-18-52--00-18-52.37.wav,P01,dysregulated,"[ 0.00923157  0.00892639  0.01159668 ... -0.05851746 -0.06607056
 -0.07150269]",False,True,False,False,False,False
200126_2142_00-23-39.52--00-23-40.55.wav,P01,dysregulated,[0.00959778 0.01449585 0.01139832 ... 0.26371765 0.29774475 0.31993103],False,True,False,False,False,False
200126_2142_00-23-43.47--00-23-44.63.wav,P01,dysregulated,"[-0.02165222 -0.02314758 -0.02233887 ...  0.00349426 -0.00846863
 -0.01985168]",False,True,False,False,False,False
200126_2142_00-21-30.46--00-21-31.16.wav,P01,dysregulated,"[ 0.36354065  0.43218994  0.5034027  ... -0.01167297 -0.00485229
  0.00117493]",False,True,False,False,False,False
200126_2142_00-09-04.785--00-09-05.612.wav,P01,dysregulated,"[-0.03471375 -0.03123474 -0.02726746 ... -0.3344574  -0.27386475
 -0.18092346]",False,True,False,False,False,False
200126_2142_00-23-52.01--00-23-54.88.wav,P01,dysregulated,[0.04434204 0.0305481  0.01560974 ... 0.09617615 0.09501648 0.08757019],False,True,False,False,False,False
200126_2142_00-11-53.14--00-11-53.81.wav,P01,dysregulated,[0.20887756 0.1899414  0.1712799  ... 0.2639618  0.26174927 0.2607727 ],False,True,False,False,False,False
200126_2142_00-04-53.74--00-04-55.29.wav,P01,dysregulated,[0.01454163 0.02201843 0.03004456 ... 0.25785828 0.25157166 0.24604797],False,True,False,False,False,False
200126_2142_00-09-51.46--00-09-51.94.wav,P01,dysregulated,"[ 0.00361633  0.00965881  0.01654053 ... -0.13894653 -0.14089966
 -0.14379883]",False,True,False,False,False,False
200126_2142_00-15-20.78--00-15-21.83.wav,P01,dysregulated,"[ 2.5939941e-04 -6.1035156e-05 -3.2043457e-04 ...  8.0261230e-02
  8.3969116e-02  9.7061157e-02]",False,True,False,False,False,False
200126_2142_00-18-00.71698--00-18-03.416.wav,P01,dysregulated,"[-0.00326538  0.00186157  0.00671387 ...  0.39978027  0.38752747
  0.36697388]",False,True,False,False,False,False
